scores	norm_scores	matrix	labels	gap	ext
490.0	3.161290322580645	MATIO	0	15	3
728.0	5.6875	MATIO	0	15	3
873.0	8.818181818181818	MATIO	0	15	3
356.0	4.876712328767123	MATIO	0	15	3
340.0	5.0	MATIO	0	15	3
194.0	5.388888888888889	MATIO	0	15	3
345.0	2.8278688524590163	MATIO	0	15	3
356.0	3.2363636363636363	MATIO	0	15	3
297.0	4.367647058823529	MATIO	0	15	3
181.0	4.891891891891892	MATIO	0	15	3
941.0	20.02127659574468	MATIO	0	15	3
881.0	6.430656934306569	MATIO	0	15	3
707.0	5.566929133858268	MATIO	0	15	3
1050.0	4.4491525423728815	MATIO	0	15	3
161.0	2.683333333333333	MATIO	0	15	3
640.0	10.666666666666666	MATIO	0	15	3
601.0	23.115384615384617	MATIO	0	15	3
398.0	9.707317073170731	MATIO	0	15	3
669.0	7.271739130434782	MATIO	0	15	3
74.0	0.5211267605633803	BLOSUM62	1	15	3
90.0	0.8490566037735849	BLOSUM62	1	15	3
114.0	0.9421487603305785	BLOSUM62	1	15	3
73.0	0.8795180722891566	BLOSUM62	1	15	3
81.0	0.5472972972972973	BLOSUM62	1	15	3
127.0	2.953488372093023	BLOSUM62	1	15	3
767.0	2.6177474402730376	BLOSUM62	1	15	3
74.0	0.7628865979381443	BLOSUM62	1	15	3
144.0	1.6	BLOSUM62	1	15	3
57.0	0.6263736263736264	BLOSUM62	1	15	3
78.0	0.78	BLOSUM62	1	15	3
47.0	0.4563106796116505	BLOSUM62	1	15	3
131.0	0.7237569060773481	BLOSUM62	1	15	3
188.0	1.4351145038167938	BLOSUM62	1	15	3
47.0	0.47474747474747475	BLOSUM62	1	15	3
114.0	0.6514285714285715	BLOSUM62	1	15	3
201.0	1.348993288590604	BLOSUM62	1	15	3
1714.0	5.564935064935065	BLOSUM62	1	15	3
211.0	0.8473895582329317	BLOSUM62	1	15	3
473.0	1.478125	BLOSUM62	1	15	3
250.0	0.8090614886731392	BLOSUM62	1	15	3
202.0	0.8145161290322581	BLOSUM62	1	15	3
132.0	0.673469387755102	BLOSUM62	1	15	3
60.0	0.3333333333333333	BLOSUM62	1	15	3
115.0	1.4743589743589745	BLOSUM62	1	15	3
280.0	1.7721518987341771	BLOSUM62	1	15	3
167.0	0.5251572327044025	BLOSUM62	1	15	3
248.0	1.1923076923076923	BLOSUM62	1	15	3
416.0	2.8689655172413793	BLOSUM62	1	15	3
407.0	3.1307692307692307	BLOSUM62	1	15	3
176.0	1.1733333333333333	BLOSUM62	1	15	3
163.0	0.8716577540106952	BLOSUM62	1	15	3
361.0	2.776923076923077	BLOSUM62	1	15	3
507.0	2.5736040609137056	BLOSUM62	1	15	3
423.0	1.7923728813559323	BLOSUM62	1	15	3
505.0	4.391304347826087	BLOSUM62	1	15	3
461.0	1.9128630705394192	BLOSUM62	1	15	3
237.0	1.4539877300613497	BLOSUM62	1	15	3
111.0	0.6453488372093024	BLOSUM62	1	15	3
272.0	2.2479338842975207	BLOSUM62	1	15	3
285.0	2.261904761904762	BLOSUM62	1	15	3
67.0	0.5726495726495726	BLOSUM62	1	15	3
43.0	0.3412698412698413	BLOSUM62	1	15	3
266.0	1.4224598930481283	BLOSUM62	1	15	3
149.0	1.1640625	BLOSUM62	1	15	3
142.0	1.1007751937984496	BLOSUM62	1	15	3
163.0	0.5241157556270096	BLOSUM62	1	15	3
293.0	1.8782051282051282	BLOSUM62	1	15	3
117.0	2.7857142857142856	BLOSUM62	1	15	3
100.0	2.272727272727273	BLOSUM62	1	15	3
85.0	0.9883720930232558	BLOSUM62	0	15	3
161.0	2.0125	BLOSUM62	0	15	3
95.0	1.8627450980392157	BLOSUM62	0	15	3
299.0	1.9801324503311257	BLOSUM62	0	15	3
136.0	2.0923076923076924	BLOSUM62	0	15	3
87.0	0.8877551020408163	BLOSUM62	0	15	3
552.0	3.68	BLOSUM62	0	15	3
697.0	22.483870967741936	BLOSUM62	0	15	3
121.0	1.5316455696202531	BLOSUM62	0	15	3
178.0	4.45	BLOSUM62	0	15	3
548.0	3.6533333333333333	BLOSUM62	0	15	3
76.0	1.6170212765957446	BLOSUM62	0	15	3
