	true	false	gap	ext	matrix	t_min	f_min
61	0.7	0.64	2	4	PAM250	3.429032641055449	7.11236758511618
62	0.7	0.64	3	4	PAM250	3.0992216859943666	6.813765703514718
63	0.7	0.64	4	4	PAM250	2.7844344970226	6.530102851005055
64	0.7	0.74	5	4	PAM250	2.489563130162513	6.647358440598445
65	0.7	0.76	6	4	PAM250	2.2258960035224558	6.4335833053502505
66	0.68	0.76	7	4	PAM250	1.953787542820223	6.249138500046583
67	0.7	0.8	8	4	PAM250	1.8079483775135412	6.091915223663724
68	0.7	0.82	9	4	PAM250	1.7530688131822052	6.0708447166320285
69	0.7	0.8	10	4	PAM250	1.7470386921891796	5.981355811773444
70	0.7	0.78	11	4	PAM250	1.710382862471432	5.884186311690244
71	0.7	0.78	12	4	PAM250	1.7299787423207886	5.840059008283829
72	0.7	0.78	13	4	PAM250	1.7118269943825208	5.810065151740873
73	0.7	0.78	14	4	PAM250	1.747451202475322	5.841321246500883
74	0.7	0.78	15	4	PAM250	1.7398991691037917	5.833871170270263
75	0.7	0.8	16	4	PAM250	1.7440734498859538	5.865972935689373
76	0.7	0.8	17	4	PAM250	1.7421006357882396	5.863027196765618
77	0.7	0.78	18	4	PAM250	1.7423480186025473	5.848747847106481
78	0.7	0.78	19	4	PAM250	1.7440939181271662	5.851366860734893
79	0.7	0.78	20	4	PAM250	1.746995106161724	5.856084155362431
80	0.7	0.6	1	5	PAM250	4.659956553497967	8.757383850229042
81	0.7	0.64	2	5	PAM250	4.3169914872325945	8.921827206697838
82	0.7	0.64	3	5	PAM250	3.979752890651236	8.617489516827478
83	0.7	0.64	4	5	PAM250	3.650903573844445	8.320552451875823
84	0.7	0.64	5	5	PAM250	3.3335267915798226	8.034775764859328
85	0.7	0.74	6	5	PAM250	3.028996995184431	8.235381109377606
86	0.7	0.78	7	5	PAM250	2.746518709624484	8.178856401046081
87	0.7	0.78	8	5	PAM250	2.489911858181746	7.891884739037538
88	0.7	0.78	9	5	PAM250	2.2798795009606625	7.6327906388627875
89	0.68	0.82	10	5	PAM250	2.0482447170578615	7.5011430227721805
90	0.7	0.8	11	5	PAM250	2.093665460470811	7.403662034166031
91	0.7	0.82	12	5	PAM250	2.0938143405214267	7.43602052932103
92	0.7	0.82	13	5	PAM250	2.0563282850109093	7.378426316023007
93	0.7	0.82	14	5	PAM250	2.0297866647195524	7.331550806897598
94	0.7	0.82	15	5	PAM250	2.0082505861104103	7.297374622279408
95	0.7	0.8	16	5	PAM250	1.9934006258181853	7.233173634208026
96	0.7	0.82	17	5	PAM250	1.9844260501078528	7.259719019588053
97	0.7	0.82	18	5	PAM250	1.9806283787770278	7.250663927822309
98	0.7	0.8	19	5	PAM250	2.032931415615847	7.209484827349985
99	0.68	0.8	20	5	PAM250	2.0101084513618885	7.208229594394631
100	0.7	0.44	1	1	MATIO	3.1929024107740407	2.301964418712578
101	0.7	0.46	2	1	MATIO	2.915649075065283	2.224013042904571
102	0.7	0.46	3	1	MATIO	2.79643420816477	2.1501612462021926
103	0.7	0.48	4	1	MATIO	2.712909257796188	2.2723046475029323
104	0.7	0.48	5	1	MATIO	2.6522533533431916	2.229377393195079
105	0.7	0.48	6	1	MATIO	2.5991497692251397	2.1942725936733827
106	0.7	0.48	7	1	MATIO	2.5564308145875354	2.167298463134788
107	0.7	0.5	8	1	MATIO	2.525248229104049	2.2278319329376126
108	0.7	0.5	9	1	MATIO	2.5038639562821587	2.2154608690133846
