scores	norm_scores	matrix	labels	gap	ext
61.0	1.3863636363636365	BLOSUM50.txt	1	8	3
38.0	0.4418604651162791	BLOSUM50.txt	0	8	3
31.0	0.3875	BLOSUM50.txt	0	8	3
25.0	0.49019607843137253	BLOSUM50.txt	0	8	3
41.0	0.271523178807947	BLOSUM50.txt	0	8	3
56.0	0.8615384615384616	BLOSUM50.txt	0	8	3
48.0	0.4897959183673469	BLOSUM50.txt	0	8	3
51.0	0.34	BLOSUM50.txt	0	8	3
24.0	0.7741935483870968	BLOSUM50.txt	0	8	3
24.0	0.3037974683544304	BLOSUM50.txt	0	8	3
20.0	0.5	BLOSUM50.txt	0	8	3
50.0	0.3333333333333333	BLOSUM50.txt	0	8	3
23.0	0.48936170212765956	BLOSUM50.txt	0	8	3
26.0	0.2653061224489796	BLOSUM50.txt	0	8	3
46.0	0.27710843373493976	BLOSUM50.txt	0	8	3
60.0	0.594059405940594	BLOSUM50.txt	0	8	3
40.0	0.3305785123966942	BLOSUM50.txt	0	8	3
34.0	0.3434343434343434	BLOSUM50.txt	0	8	3
43.0	0.8431372549019608	BLOSUM50.txt	0	8	3
36.0	1.8	BLOSUM50.txt	0	8	3
42.0	0.22105263157894736	BLOSUM50.txt	0	8	3
58.0	0.23868312757201646	BLOSUM50.txt	0	8	3
39.0	0.527027027027027	BLOSUM50.txt	0	8	3
32.0	0.35555555555555557	BLOSUM50.txt	0	8	3
55.0	0.3142857142857143	BLOSUM50.txt	0	8	3
51.0	0.23076923076923078	BLOSUM50.txt	0	8	3
37.0	0.46835443037974683	BLOSUM50.txt	0	8	3
43.0	0.27741935483870966	BLOSUM50.txt	0	8	3
35.0	0.26717557251908397	BLOSUM50.txt	0	8	3
39.0	0.17256637168141592	BLOSUM50.txt	0	8	3
44.0	0.5057471264367817	BLOSUM50.txt	0	8	3
81.0	0.3389121338912134	BLOSUM50.txt	0	8	3
46.0	0.2967741935483871	BLOSUM50.txt	0	8	3
35.0	0.2734375	BLOSUM50.txt	0	8	3
51.0	0.5151515151515151	BLOSUM50.txt	0	8	3
34.0	0.4657534246575342	BLOSUM50.txt	0	8	3
67.0	0.9852941176470589	BLOSUM50.txt	0	8	3
38.0	1.0555555555555556	BLOSUM50.txt	0	8	3
34.0	0.2786885245901639	BLOSUM50.txt	0	8	3
38.0	0.34545454545454546	BLOSUM50.txt	0	8	3
34.0	0.5	BLOSUM50.txt	0	8	3
24.0	0.6486486486486487	BLOSUM50.txt	0	8	3
29.0	0.6170212765957447	BLOSUM50.txt	0	8	3
41.0	0.29927007299270075	BLOSUM50.txt	0	8	3
42.0	0.33070866141732286	BLOSUM50.txt	0	8	3
52.0	0.22033898305084745	BLOSUM50.txt	0	8	3
34.0	0.5666666666666667	BLOSUM50.txt	0	8	3
32.0	0.5333333333333333	BLOSUM50.txt	0	8	3
22.0	0.8461538461538461	BLOSUM50.txt	0	8	3
45.0	1.0975609756097562	BLOSUM50.txt	0	8	3
33.0	0.358695652173913	BLOSUM50.txt	0	8	3
29.0	0.20422535211267606	BLOSUM62.txt	1	8	3
32.0	0.3018867924528302	BLOSUM62.txt	1	8	3
29.0	0.2396694214876033	BLOSUM62.txt	1	8	3
52.0	0.6265060240963856	BLOSUM62.txt	1	8	3
46.0	0.3108108108108108	BLOSUM62.txt	1	8	3
25.0	0.5813953488372093	BLOSUM62.txt	1	8	3
39.0	0.13310580204778158	BLOSUM62.txt	1	8	3
23.0	0.23711340206185566	BLOSUM62.txt	1	8	3
23.0	0.25555555555555554	BLOSUM62.txt	1	8	3
26.0	0.2857142857142857	BLOSUM62.txt	1	8	3
24.0	0.24	BLOSUM62.txt	1	8	3
31.0	0.30097087378640774	BLOSUM62.txt	1	8	3
42.0	0.23204419889502761	BLOSUM62.txt	1	8	3
29.0	0.22137404580152673	BLOSUM62.txt	1	8	3
63.0	0.6363636363636364	BLOSUM62.txt	1	8	3
28.0	0.16	BLOSUM62.txt	1	8	3
26.0	0.174496644295302	BLOSUM62.txt	1	8	3
36.0	0.11688311688311688	BLOSUM62.txt	1	8	3
37.0	0.14859437751004015	BLOSUM62.txt	1	8	3
43.0	0.134375	BLOSUM62.txt	1	8	3
38.0	0.12297734627831715	BLOSUM62.txt	1	8	3
31.0	0.125	BLOSUM62.txt	1	8	3
34.0	0.17346938775510204	BLOSUM62.txt	1	8	3
35.0	0.19444444444444445	BLOSUM62.txt	1	8	3
61.0	0.782051282051282	BLOSUM62.txt	1	8	3
25.0	0.15822784810126583	BLOSUM62.txt	1	8	3
45.0	0.14150943396226415	BLOSUM62.txt	1	8	3
42.0	0.20192307692307693	BLOSUM62.txt	1	8	3
28.0	0.19310344827586207	BLOSUM62.txt	1	8	3
32.0	0.24615384615384617	BLOSUM62.txt	1	8	3
38.0	0.25333333333333335	BLOSUM62.txt	1	8	3
30.0	0.16042780748663102	BLOSUM62.txt	1	8	3
48.0	0.36923076923076925	BLOSUM62.txt	1	8	3
31.0	0.15736040609137056	BLOSUM62.txt	1	8	3
29.0	0.1228813559322034	BLOSUM62.txt	1	8	3
36.0	0.3130434782608696	BLOSUM62.txt	1	8	3
31.0	0.12863070539419086	BLOSUM62.txt	1	8	3
31.0	0.1901840490797546	BLOSUM62.txt	1	8	3
30.0	0.1744186046511628	BLOSUM62.txt	1	8	3
27.0	0.2231404958677686	BLOSUM62.txt	1	8	3
24.0	0.19047619047619047	BLOSUM62.txt	1	8	3
25.0	0.21367521367521367	BLOSUM62.txt	1	8	3
31.0	0.24603174603174602	BLOSUM62.txt	1	8	3
56.0	0.2994652406417112	BLOSUM62.txt	1	8	3
102.0	0.796875	BLOSUM62.txt	1	8	3
33.0	0.2558139534883721	BLOSUM62.txt	1	8	3
35.0	0.11254019292604502	BLOSUM62.txt	1	8	3
264.0	1.6923076923076923	BLOSUM62.txt	1	8	3
46.0	1.0952380952380953	BLOSUM62.txt	1	8	3
30.0	0.6818181818181818	BLOSUM62.txt	1	8	3
29.0	0.3372093023255814	BLOSUM62.txt	0	8	3
22.0	0.275	BLOSUM62.txt	0	8	3
18.0	0.35294117647058826	BLOSUM62.txt	0	8	3
26.0	0.17218543046357615	BLOSUM62.txt	0	8	3
31.0	0.47692307692307695	BLOSUM62.txt	0	8	3
26.0	0.2653061224489796	BLOSUM62.txt	0	8	3
32.0	0.21333333333333335	BLOSUM62.txt	0	8	3
17.0	0.5483870967741935	BLOSUM62.txt	0	8	3
18.0	0.22784810126582278	BLOSUM62.txt	0	8	3
16.0	0.4	BLOSUM62.txt	0	8	3
33.0	0.22	BLOSUM62.txt	0	8	3
15.0	0.3191489361702128	BLOSUM62.txt	0	8	3
20.0	0.20408163265306123	BLOSUM62.txt	0	8	3
26.0	0.1566265060240964	BLOSUM62.txt	0	8	3
42.0	0.4158415841584158	BLOSUM62.txt	0	8	3
29.0	0.2396694214876033	BLOSUM62.txt	0	8	3
23.0	0.23232323232323232	BLOSUM62.txt	0	8	3
28.0	0.5490196078431373	BLOSUM62.txt	0	8	3
27.0	1.35	BLOSUM62.txt	0	8	3
27.0	0.14210526315789473	BLOSUM62.txt	0	8	3
40.0	0.1646090534979424	BLOSUM62.txt	0	8	3
27.0	0.36486486486486486	BLOSUM62.txt	0	8	3
23.0	0.25555555555555554	BLOSUM62.txt	0	8	3
41.0	0.2342857142857143	BLOSUM62.txt	0	8	3
32.0	0.14479638009049775	BLOSUM62.txt	0	8	3
22.0	0.27848101265822783	BLOSUM62.txt	0	8	3
28.0	0.18064516129032257	BLOSUM62.txt	0	8	3
26.0	0.1984732824427481	BLOSUM62.txt	0	8	3
26.0	0.11504424778761062	BLOSUM62.txt	0	8	3
30.0	0.3448275862068966	BLOSUM62.txt	0	8	3
47.0	0.19665271966527198	BLOSUM62.txt	0	8	3
29.0	0.1870967741935484	BLOSUM62.txt	0	8	3
26.0	0.203125	BLOSUM62.txt	0	8	3
36.0	0.36363636363636365	BLOSUM62.txt	0	8	3
24.0	0.3287671232876712	BLOSUM62.txt	0	8	3
